trial_number,value,adx_threshold,irg_threshold,min_momentum_pct,momentum_days,volume_factor,sl_mult,tp_mult,allow_partial_signals,require_macd,require_ma50,require_rsi_gt,sharpe_mean,max_drawdown_mean,trades,total_return_mean,params
39,0.7548624873182698,13,0.6000000000000001,0.025,5,1.0,2.7,1.9,0,0,1,17,0.7014492448988829,0.1371725965644409,973,0.054574799597154756,"{'adx_threshold': 13.0, 'irg_threshold': 0.6000000000000001, 'min_momentum_pct': 0.025, 'momentum_days': 5, 'volume_factor': 1.0, 'sl_mult': 2.7, 'tp_mult': 1.9, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 17.0}"
40,-0.9282856865520941,17,1.35,0.017,4,1.05,2.9000000000000004,4.0,0,0,0,12,-1.3484274518256143,0.11942896372037659,730,0.016773350741497255,"{'adx_threshold': 17.0, 'irg_threshold': 1.35, 'min_momentum_pct': 0.017, 'momentum_days': 4, 'volume_factor': 1.05, 'sl_mult': 2.9000000000000004, 'tp_mult': 4.0, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 0.0, 'require_rsi_gt': 12.0}"
41,2.0667267079206453,13,1.6,0.018000000000000002,3,1.0,2.8,1.7,0,0,1,19,2.3447707771068216,0.13450308689780882,967,0.04608460759761254,"{'adx_threshold': 13.0, 'irg_threshold': 1.6, 'min_momentum_pct': 0.018000000000000002, 'momentum_days': 3, 'volume_factor': 1.0, 'sl_mult': 2.8, 'tp_mult': 1.7, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 19.0}"
42,2.2561376151227037,13,1.5000000000000002,0.019,3,1.0,2.6,1.8,0,0,1,19,2.5768669420245027,0.1331780000437374,969,0.04833448131209879,"{'adx_threshold': 13.0, 'irg_threshold': 1.5000000000000002, 'min_momentum_pct': 0.019, 'momentum_days': 3, 'volume_factor': 1.0, 'sl_mult': 2.6, 'tp_mult': 1.8, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 19.0}"
43,0.8847551821880053,12,1.5000000000000002,0.022000000000000002,3,1.1,2.6,2.2,0,0,1,29,0.8659786313528305,0.12746798185275046,830,0.04654443971317631,"{'adx_threshold': 12.0, 'irg_threshold': 1.5000000000000002, 'min_momentum_pct': 0.022000000000000002, 'momentum_days': 3, 'volume_factor': 1.1, 'sl_mult': 2.6, 'tp_mult': 2.2, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 29.0}"
44,1.806293059913197,15,1.4000000000000001,0.011,4,1.0,3.0,1.8,0,0,1,21,2.0374632318075125,0.13477580589127391,967,0.037400607872905604,"{'adx_threshold': 15.0, 'irg_threshold': 1.4000000000000001, 'min_momentum_pct': 0.011, 'momentum_days': 4, 'volume_factor': 1.0, 'sl_mult': 3.0, 'tp_mult': 1.8, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 21.0}"
45,0.07037851461363724,15,0.8,0.016,5,1.05,2.5,1.5,0,0,1,25,-0.15358189023023558,0.1276346900543115,952,0.03588449031691969,"{'adx_threshold': 15.0, 'irg_threshold': 0.8, 'min_momentum_pct': 0.016, 'momentum_days': 5, 'volume_factor': 1.05, 'sl_mult': 2.5, 'tp_mult': 1.5, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 25.0}"
46,0.022440392842440843,16,1.05,0.019,5,1.1,2.9000000000000004,2.1,0,0,1,16,-0.21045681494048316,0.1177484675015698,781,0.03972699684206222,"{'adx_threshold': 16.0, 'irg_threshold': 1.05, 'min_momentum_pct': 0.019, 'momentum_days': 5, 'volume_factor': 1.1, 'sl_mult': 2.9000000000000004, 'tp_mult': 2.1, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 16.0}"
47,-1.0999932447361929,13,0.65,0.007,3,1.2,2.7,6.0,0,0,1,14,-1.5630481880862466,0.12420430631441051,705,0.01506840719549788,"{'adx_threshold': 13.0, 'irg_threshold': 0.65, 'min_momentum_pct': 0.007, 'momentum_days': 3, 'volume_factor': 1.2, 'sl_mult': 2.7, 'tp_mult': 6.0, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 14.0}"
48,0.20494258311259408,17,0.8500000000000001,0.014000000000000002,4,1.0,3.0,1.8,0,0,0,18,0.041189887821562875,0.12785321731936042,893,0.030457556130805655,"{'adx_threshold': 17.0, 'irg_threshold': 0.8500000000000001, 'min_momentum_pct': 0.014000000000000002, 'momentum_days': 4, 'volume_factor': 1.0, 'sl_mult': 3.0, 'tp_mult': 1.8, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 0.0, 'require_rsi_gt': 18.0}"
49,-7.87742621601326,30,1.1500000000000001,0.015,3,1.05,2.4000000000000004,2.6,0,0,1,12,-10.03154179334023,0.03861033847973827,268,0.003769873660866282,"{'adx_threshold': 30.0, 'irg_threshold': 1.1500000000000001, 'min_momentum_pct': 0.015, 'momentum_days': 3, 'volume_factor': 1.05, 'sl_mult': 2.4000000000000004, 'tp_mult': 2.6, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 12.0}"
50,0.3110289990855339,12,1.3,0.021,4,1.1,2.8,3.0,0,1,1,24,0.1864990304191051,0.13160095112423786,785,0.021494227599262967,"{'adx_threshold': 12.0, 'irg_threshold': 1.3, 'min_momentum_pct': 0.021, 'momentum_days': 4, 'volume_factor': 1.1, 'sl_mult': 2.8, 'tp_mult': 3.0, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 24.0}"
51,1.8236657701365337,14,1.6,0.018000000000000002,3,1.0,2.9000000000000004,1.7,0,0,1,20,2.0512497830467504,0.13384383514957787,945,0.03937999017370146,"{'adx_threshold': 14.0, 'irg_threshold': 1.6, 'min_momentum_pct': 0.018000000000000002, 'momentum_days': 3, 'volume_factor': 1.0, 'sl_mult': 2.9000000000000004, 'tp_mult': 1.7, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 20.0}"
52,0.995323436241973,13,1.55,0.019,3,1.0,2.8,2.0,0,0,1,19,0.9948498816352059,0.13355876031384473,943,0.05674722494150444,"{'adx_threshold': 13.0, 'irg_threshold': 1.55, 'min_momentum_pct': 0.019, 'momentum_days': 3, 'volume_factor': 1.0, 'sl_mult': 2.8, 'tp_mult': 2.0, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 19.0}"
53,2.0409800009907655,15,1.5000000000000002,0.016,3,1.0,2.6,1.6,0,0,1,16,2.3097654179247242,0.12947200266783276,951,0.04001111296340119,"{'adx_threshold': 15.0, 'irg_threshold': 1.5000000000000002, 'min_momentum_pct': 0.016, 'momentum_days': 3, 'volume_factor': 1.0, 'sl_mult': 2.6, 'tp_mult': 1.6, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 16.0}"
54,-1.385622255797738,13,1.4500000000000002,0.017,4,1.45,2.8,1.9,0,0,1,11,-1.989399144509538,0.09109232912994987,541,0.029075573605096442,"{'adx_threshold': 13.0, 'irg_threshold': 1.4500000000000002, 'min_momentum_pct': 0.017, 'momentum_days': 4, 'volume_factor': 1.45, 'sl_mult': 2.8, 'tp_mult': 1.9, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 11.0}"
55,-0.36896111777058,14,1.55,0.01,5,1.05,2.7,2.2,0,0,1,15,-0.6646703880786344,0.13298703039599413,893,0.033522466223214704,"{'adx_threshold': 14.0, 'irg_threshold': 1.55, 'min_momentum_pct': 0.01, 'momentum_days': 5, 'volume_factor': 1.05, 'sl_mult': 2.7, 'tp_mult': 2.2, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 15.0}"
56,-1.3578383051545515,26,1.4000000000000001,0.021,4,1.05,2.9000000000000004,1.8,0,0,1,29,-1.9298852852331847,0.05917803535016986,403,0.02156118246183067,"{'adx_threshold': 26.0, 'irg_threshold': 1.4000000000000001, 'min_momentum_pct': 0.021, 'momentum_days': 4, 'volume_factor': 1.05, 'sl_mult': 2.9000000000000004, 'tp_mult': 1.8, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 29.0}"
57,3.5873472830291506,16,0.75,0.013000000000000001,3,1.0,3.0,1.5,0,1,1,17,4.214412515123104,0.12093946823835904,892,0.04690790726482449,"{'adx_threshold': 16.0, 'irg_threshold': 0.75, 'min_momentum_pct': 0.013000000000000001, 'momentum_days': 3, 'volume_factor': 1.0, 'sl_mult': 3.0, 'tp_mult': 1.5, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 17.0}"
58,0.6031934451079916,16,0.75,0.013000000000000001,5,1.05,3.0,1.5,0,1,1,17,0.4881554489335012,0.1156225071689641,845,0.04495743157273908,"{'adx_threshold': 16.0, 'irg_threshold': 0.75, 'min_momentum_pct': 0.013000000000000001, 'momentum_days': 5, 'volume_factor': 1.05, 'sl_mult': 3.0, 'tp_mult': 1.5, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 17.0}"
59,-1.2979300388631738,16,0.8500000000000001,0.01,4,1.2,2.4000000000000004,2.1,0,1,1,14,-1.8254732829554003,0.11155478338167749,654,0.015377841320654142,"{'adx_threshold': 16.0, 'irg_threshold': 0.8500000000000001, 'min_momentum_pct': 0.01, 'momentum_days': 4, 'volume_factor': 1.2, 'sl_mult': 2.4000000000000004, 'tp_mult': 2.1, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 14.0}"
60,-2.2151872136861392,17,0.9000000000000001,0.013000000000000001,3,1.1,1.1,2.4,0,1,1,11,-2.947165672024174,0.10758723861984736,713,0.010995838650338955,"{'adx_threshold': 17.0, 'irg_threshold': 0.9000000000000001, 'min_momentum_pct': 0.013000000000000001, 'momentum_days': 3, 'volume_factor': 1.1, 'sl_mult': 1.1, 'tp_mult': 2.4, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 11.0}"
61,2.760085298907926,12,0.75,0.015,3,1.0,2.9000000000000004,1.6,0,1,1,19,3.1976293716251583,0.13725071638948785,999,0.05020611870378729,"{'adx_threshold': 12.0, 'irg_threshold': 0.75, 'min_momentum_pct': 0.015, 'momentum_days': 3, 'volume_factor': 1.0, 'sl_mult': 2.9000000000000004, 'tp_mult': 1.6, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 19.0}"
62,2.760085298907926,12,0.75,0.015,3,1.0,2.9000000000000004,1.6,0,1,1,21,3.1976293716251583,0.13725071638948785,999,0.05020611870378729,"{'adx_threshold': 12.0, 'irg_threshold': 0.75, 'min_momentum_pct': 0.015, 'momentum_days': 3, 'volume_factor': 1.0, 'sl_mult': 2.9000000000000004, 'tp_mult': 1.6, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 21.0}"
63,3.5891354893968463,12,0.5,0.015,3,1.0,3.0,1.5,0,1,1,16,4.238657268209267,0.13808879140918684,1017,0.042004602376978104,"{'adx_threshold': 12.0, 'irg_threshold': 0.5, 'min_momentum_pct': 0.015, 'momentum_days': 3, 'volume_factor': 1.0, 'sl_mult': 3.0, 'tp_mult': 1.5, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 16.0}"
64,0.6027599016399003,12,0.55,0.015,3,1.05,2.9000000000000004,1.5,0,1,1,22,0.504188815821138,0.13134945791063993,960,0.0413952763308669,"{'adx_threshold': 12.0, 'irg_threshold': 0.55, 'min_momentum_pct': 0.015, 'momentum_days': 3, 'volume_factor': 1.05, 'sl_mult': 2.9000000000000004, 'tp_mult': 1.5, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 22.0}"
65,-0.17263137793248662,12,0.5,0.016,3,1.0,3.0,5.1,0,1,1,18,-0.4384176229012301,0.13686999694194865,836,0.04651680337516325,"{'adx_threshold': 12.0, 'irg_threshold': 0.5, 'min_momentum_pct': 0.016, 'momentum_days': 3, 'volume_factor': 1.0, 'sl_mult': 3.0, 'tp_mult': 5.1, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 18.0}"
66,-1.1275562879448848,12,0.65,0.017,3,1.3,1.5,1.9,0,1,1,16,-1.645823839625364,0.09925938714583396,657,0.026087142001044724,"{'adx_threshold': 12.0, 'irg_threshold': 0.65, 'min_momentum_pct': 0.017, 'momentum_days': 3, 'volume_factor': 1.3, 'sl_mult': 1.5, 'tp_mult': 1.9, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 16.0}"
67,-0.884915987941453,12,0.75,0.015,3,1.25,2.9000000000000004,5.7,0,1,1,21,-1.3065121042850132,0.11438180243547327,624,0.021109879061414302,"{'adx_threshold': 12.0, 'irg_threshold': 0.75, 'min_momentum_pct': 0.015, 'momentum_days': 3, 'volume_factor': 1.25, 'sl_mult': 2.9000000000000004, 'tp_mult': 5.7, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 21.0}"
68,2.452827685951857,13,0.7,0.019,3,1.0,2.7,1.6,0,1,1,47,2.807184748199934,0.13370569227573909,960,0.053084698328974035,"{'adx_threshold': 13.0, 'irg_threshold': 0.7, 'min_momentum_pct': 0.019, 'momentum_days': 3, 'volume_factor': 1.0, 'sl_mult': 2.7, 'tp_mult': 1.6, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 47.0}"
69,-0.7272616459645616,13,0.4,0.019,3,1.05,2.7,4.5,0,1,0,45,-1.1188021098055778,0.13161197487668938,797,0.03500224520799153,"{'adx_threshold': 13.0, 'irg_threshold': 0.4, 'min_momentum_pct': 0.019, 'momentum_days': 3, 'volume_factor': 1.05, 'sl_mult': 2.7, 'tp_mult': 4.5, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 0.0, 'require_rsi_gt': 45.0}"
70,4.698023083133755,13,0.65,0.012,3,1.55,2.6,2.0,0,1,1,49,5.619102144177105,0.08431758660896553,444,0.01818563902293429,"{'adx_threshold': 13.0, 'irg_threshold': 0.65, 'min_momentum_pct': 0.012, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.6, 'tp_mult': 2.0, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 49.0}"
71,4.496793448208697,13,0.65,0.012,3,1.6,2.6,1.6,0,1,1,48,5.3619802229674836,0.08200494069833918,425,0.010851232075063947,"{'adx_threshold': 13.0, 'irg_threshold': 0.65, 'min_momentum_pct': 0.012, 'momentum_days': 3, 'volume_factor': 1.6, 'sl_mult': 2.6, 'tp_mult': 1.6, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 48.0}"
72,8.063064356071003,14,0.65,0.012,3,1.55,2.5,1.6,0,1,1,50,9.819663629627717,0.0850197629399588,442,0.014925997963491677,"{'adx_threshold': 14.0, 'irg_threshold': 0.65, 'min_momentum_pct': 0.012, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.5, 'tp_mult': 1.6, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 50.0}"
73,4.631499820260357,14,0.65,0.01,3,1.55,2.5,2.0,0,1,1,50,5.53961539115051,0.08293519906694398,437,0.01594740051183048,"{'adx_threshold': 14.0, 'irg_threshold': 0.65, 'min_momentum_pct': 0.01, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.5, 'tp_mult': 2.0, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 50.0}"
74,0.950575805433859,14,0.65,0.012,3,1.55,2.4000000000000004,2.1,0,1,1,49,0.9380827924787419,0.0826576010875396,435,0.016981598645561525,"{'adx_threshold': 14.0, 'irg_threshold': 0.65, 'min_momentum_pct': 0.012, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.4000000000000004, 'tp_mult': 2.1, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 49.0}"
75,5.107125121303555,12,0.5,0.01,3,1.55,2.3,2.0,0,1,1,50,6.132385588058903,0.0848793950599253,456,0.018537916050720592,"{'adx_threshold': 12.0, 'irg_threshold': 0.5, 'min_momentum_pct': 0.01, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.3, 'tp_mult': 2.0, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 50.0}"
76,4.599171274349715,14,0.5,0.01,3,1.55,2.3,2.0,0,1,1,50,5.49990014527524,0.08206426041264703,438,0.016852615092952997,"{'adx_threshold': 14.0, 'irg_threshold': 0.5, 'min_momentum_pct': 0.01, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.3, 'tp_mult': 2.0, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 50.0}"
77,4.599171274349715,14,0.5,0.01,3,1.55,2.3,2.0,0,1,1,50,5.49990014527524,0.08206426041264703,438,0.016852615092952997,"{'adx_threshold': 14.0, 'irg_threshold': 0.5, 'min_momentum_pct': 0.01, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.3, 'tp_mult': 2.0, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 50.0}"
78,-0.4309128412152001,14,0.5,0.008,3,1.55,2.3,2.4,0,1,1,50,-0.7697704143934836,0.0831781199745119,436,0.012588140062071679,"{'adx_threshold': 14.0, 'irg_threshold': 0.5, 'min_momentum_pct': 0.008, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.3, 'tp_mult': 2.4, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 50.0}"
79,-1.1027066778462515,14,0.35,0.01,3,1.6,2.1,2.2,0,1,1,48,-1.6013526098605726,0.0804865142512752,413,0.006750185072897049,"{'adx_threshold': 14.0, 'irg_threshold': 0.35, 'min_momentum_pct': 0.01, 'momentum_days': 3, 'volume_factor': 1.6, 'sl_mult': 2.1, 'tp_mult': 2.2, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 48.0}"
